session_id,player_id,acquisition_channel,session_date,days_since_signup,game_category,device,session_minutes,bets_placed,net_revenue_usd
S000001,P100001,Retail Crossover,2025-04-09,0,Slots,iOS App,34,101,-39.43
S000002,P100002,Paid Search,2025-05-13,0,Slots,Mobile Web,27,57,103.46
S000003,P100002,Paid Search,2025-05-14,1,Bingo,Mobile Web,35,17,-13.29
S000004,P100003,Retail Crossover,2025-03-04,0,Sportsbook,Desktop,7,5,7.07
S000005,P100004,Retail Crossover,2025-06-21,0,Sportsbook,Desktop,21,45,-49.59
S000006,P100004,Retail Crossover,2025-06-22,1,Live Dealer,Android App,15,40,-60.76
S000007,P100004,Retail Crossover,2025-06-30,9,Bingo,Mobile Web,37,106,1082.63
S000008,P100004,Retail Crossover,2025-07-03,12,Table Games,Desktop,30,18,15.92
S000009,P100004,Retail Crossover,2025-07-17,26,Table Games,Mobile Web,22,34,15.9
S000010,P100004,Retail Crossover,2025-07-18,27,Live Dealer,Mobile Web,28,56,208.75
S000011,P100004,Retail Crossover,2025-07-23,32,Slots,Mobile Web,30,65,26.42
S000012,P100004,Retail Crossover,2025-07-25,34,Slots,Android App,17,28,18.11
S000013,P100004,Retail Crossover,2025-08-08,48,Sportsbook,iOS App,29,28,19.4
S000014,P100004,Retail Crossover,2025-08-09,49,Sportsbook,Mobile Web,70,165,32.99
S000015,P100004,Retail Crossover,2025-08-23,63,Live Dealer,Desktop,10,7,30.63
S000016,P100004,Retail Crossover,2025-08-28,68,Live Dealer,Desktop,8,13,40.22
S000017,P100004,Retail Crossover,2025-09-05,76,Sportsbook,Android App,15,12,9.75
S000018,P100004,Retail Crossover,2025-09-13,84,Bingo,Android App,73,217,44.87
S000019,P100004,Retail Crossover,2025-09-14,85,Table Games,Android App,19,48,40.2
S000020,P100004,Retail Crossover,2025-09-15,86,Sportsbook,Android App,29,30,20.72
S000021,P100004,Retail Crossover,2025-09-17,88,Live Dealer,Mobile Web,60,64,-424.98
S000022,P100004,Retail Crossover,2025-10-01,102,Sportsbook,Desktop,36,21,-33.62
S000023,P100004,Retail Crossover,2025-10-03,104,Table Games,Mobile Web,18,8,14.15
S000024,P100004,Retail Crossover,2025-10-11,112,Bingo,Android App,55,77,51.94
S000025,P100004,Retail Crossover,2025-10-13,114,Sportsbook,Desktop,20,22,-29.0
S000026,P100004,Retail Crossover,2025-10-15,116,Sportsbook,iOS App,10,14,3.11
S000027,P100004,Retail Crossover,2025-10-16,117,Table Games,Android App,40,102,59.23
S000028,P100004,Retail Crossover,2025-10-30,131,Bingo,Android App,16,34,-7.67
S000029,P100004,Retail Crossover,2025-11-07,139,Bingo,Desktop,23,47,17.4
S000030,P100004,Retail Crossover,2025-11-12,144,Slots,Android App,18,17,-172.13
S000031,P100004,Retail Crossover,2025-11-20,152,Sportsbook,Android App,24,9,-6.31
S000032,P100004,Retail Crossover,2025-11-28,160,Table Games,Desktop,22,31,-144.52
S000033,P100004,Retail Crossover,2025-12-03,165,Slots,Android App,11,24,65.4
S000034,P100004,Retail Crossover,2025-12-06,168,Bingo,Android App,33,33,135.24
S000035,P100004,Retail Crossover,2025-12-11,173,Bingo,Android App,44,106,-1.56
S000036,P100004,Retail Crossover,2025-12-13,175,Bingo,Android App,31,12,101.53
S000037,P100004,Retail Crossover,2025-12-16,178,Bingo,Android App,13,20,-35.0
S000038,P100004,Retail Crossover,2025-12-19,181,Sportsbook,iOS App,62,111,-68.7
S000039,P100004,Retail Crossover,2025-12-20,182,Bingo,Mobile Web,41,130,-60.09
S000040,P100004,Retail Crossover,2025-12-28,190,Bingo,Mobile Web,25,72,111.85
S000041,P100004,Retail Crossover,2026-01-11,204,Slots,Desktop,29,58,520.2
S000042,P100004,Retail Crossover,2026-01-19,212,Slots,iOS App,11,16,-31.45
S000043,P100004,Retail Crossover,2026-01-24,217,Bingo,Mobile Web,8,19,7.19
S000044,P100004,Retail Crossover,2026-02-01,225,Live Dealer,Desktop,11,11,46.4
S000045,P100004,Retail Crossover,2026-02-15,239,Bingo,iOS App,10,31,-15.54
S000046,P100004,Retail Crossover,2026-02-17,241,Sportsbook,Android App,38,96,157.25
S000047,P100004,Retail Crossover,2026-02-25,249,Sportsbook,Android App,27,61,59.21
S000048,P100004,Retail Crossover,2026-03-05,257,Sportsbook,Desktop,11,20,-46.73
S000049,P100004,Retail Crossover,2026-03-19,271,Sportsbook,iOS App,10,31,76.48
S000050,P100004,Retail Crossover,2026-03-27,279,Live Dealer,Android App,11,29,-247.23
S000051,P100004,Retail Crossover,2026-03-29,281,Slots,iOS App,53,91,86.22
S000052,P100004,Retail Crossover,2026-04-01,284,Table Games,Android App,20,50,28.19
S000053,P100004,Retail Crossover,2026-04-06,289,Sportsbook,Android App,16,16,0.28
S000054,P100004,Retail Crossover,2026-04-07,290,Sportsbook,Android App,6,3,7.27
S000055,P100004,Retail Crossover,2026-04-15,298,Table Games,Mobile Web,68,108,65.13
S000056,P100004,Retail Crossover,2026-04-17,300,Sportsbook,Mobile Web,17,45,13.36
S000057,P100004,Retail Crossover,2026-04-19,302,Slots,iOS App,14,35,66.91
S000058,P100004,Retail Crossover,2026-04-21,304,Slots,iOS App,53,48,278.31
S000059,P100004,Retail Crossover,2026-04-22,305,Bingo,iOS App,22,57,-109.36
